item_tag,n_windows,q10_coverage,q50_coverage,q90_coverage,q50_mae_norm
ENCHANTED_COAL,30,0.8847222222222222,0.9388888888888889,1.0,9.33594799041748
ENCHANTED_REDSTONE_BLOCK,30,0.0,0.0,0.0,9.10896110534668
REFINED_DIAMOND,38,0.9989035087719298,0.9989035087719298,0.9989035087719298,7.364388465881348
COMPOST,6,0.0,0.041666666666666664,0.1111111111111111,0.8834502696990967
BURROWING_SPORES,13,1.0,1.0,1.0,0.6944488286972046
WHITE_GIFT,76,0.0,0.011513157894736841,0.3196271929824561,0.5499189496040344
ESSENCE_DRAGON,30,0.0,0.0,0.0,0.4833444356918335
GIANT_FRAGMENT_DIAMOND,13,1.0,1.0,1.0,0.36693593859672546
GREAT_WHITE_SHARK_TOOTH,57,0.7872807017543859,0.939327485380117,1.0,0.2989403009414673
FLAWLESS_JADE_GEM,27,0.0,0.0,0.0015432098765432098,0.2876650393009186
FINE_PERIDOT_GEM,13,0.0,0.0,0.9551282051282052,0.19268515706062317
ENCHANTMENT_TURBO_MOONFLOWER_1,29,0.9037356321839081,0.9353448275862069,0.9353448275862069,0.18106414377689362
DERELICT_ASHE,38,0.8125,0.9714912280701754,1.0,0.18070484697818756
KISMET_FEATHER,62,0.0,0.12298387096774194,0.28830645161290325,0.13863693177700043
ABSOLUTE_ENDER_PEARL,81,0.00051440329218107,0.125,0.26440329218106995,0.13826535642147064
SYNTHETIC_HEART,6,0.22916666666666666,1.0,1.0,0.12474821507930756
ENCHANTMENT_ULTIMATE_REITERATE_1,13,0.0,0.0,0.0,0.10998121649026871
FARMING_FOR_DUMMIES,62,0.7815860215053764,1.0,1.0,0.10940183699131012
ENCHANTED_QUARTZ_BLOCK,69,0.4722222222222222,0.8466183574879227,0.9891304347826086,0.099935382604599
GRIFFIN_FEATHER,115,0.17681159420289855,1.0,1.0,0.07928352057933807
ESSENCE_ICE,13,0.0,0.3685897435897436,0.6923076923076923,0.06573460251092911
HEMOBOMB,30,0.9319444444444445,1.0,1.0,0.06287232786417007
ENCHANTED_BLAZE_ROD,126,0.9391534391534392,0.996031746031746,1.0,0.061769381165504456
TARANTULA_WEB,30,0.0,0.9652777777777778,1.0,0.05269264802336693
ROBOTRON_REFLECTOR,13,0.0,0.7211538461538461,1.0,0.031703270971775055
SHARD_APEX_DRAGON,62,0.34341397849462363,0.9946236559139785,1.0,0.031329184770584106
ENCHANTMENT_PROSPERITY_1,55,0.0,0.5272727272727272,0.7856060606060606,0.017326530069112778
RECOMBOBULATOR_3000,120,0.0,0.2954861111111111,1.0,0.016673002392053604
ENCHANTMENT_FEROCIOUS_MANA_5,55,0.0,0.8924242424242425,1.0,0.016351694241166115
ENCHANTED_UMBER,62,0.0,1.0,1.0,0.015974625945091248
COLOSSAL_EXP_BOTTLE,98,0.0,1.0,1.0,0.014920864254236221
VERY_CRUDE_GABAGOOL,62,0.0,1.0,1.0,0.014274202287197113
SHARD_HIDEONLEAF,54,0.0,0.25771604938271603,0.8811728395061729,0.01327274739742279
SCORCHED_POWER_CRYSTAL,55,0.0,0.041666666666666664,1.0,0.011322873644530773
HAMSTER_WHEEL,118,0.05508474576271186,0.6875,1.0,0.011066729202866554
